project,repo,company_name,activity_months,commit_weight,months_pct,engagement_score,company_type,repo_short,sponsor,commit_access,activity_scope
alexa,alexa/skill-sample-nodejs-quiz-game,Amazon.com,2,1,0.3,32,public,skill-sample-nodejs-quiz-game,Amazon.com,closed,internal
alexa,alexa/skill-sample-nodejs-quiz-game,GitHub,2,2,0.3,34,github,skill-sample-nodejs-quiz-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-quiz-game,Google Email,2,1,0.3,32,personal,skill-sample-nodejs-quiz-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-salesforce,Amazon.com,2,0,0.3,30,public,skill-sample-nodejs-salesforce,Amazon.com,closed,internal
alexa,alexa/skill-sample-nodejs-salesforce,GitHub,1,0,0.2,20,github,skill-sample-nodejs-salesforce,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-team-lookup,Amazon.com,1,0,0.2,20,public,skill-sample-nodejs-team-lookup,Amazon.com,closed,internal
alexa,alexa/skill-sample-nodejs-team-lookup,GitHub,5,1,0.8,82,github,skill-sample-nodejs-team-lookup,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-team-lookup,Google Email,4,0,0.7,70,personal,skill-sample-nodejs-team-lookup,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-trivia,GitHub,2,3,0.3,36,github,skill-sample-nodejs-trivia,Amazon.com,closed,unknown
alexa,alexa/skill-sample-nodejs-trivia,Google Email,1,2,0.2,24.000000000000004,personal,skill-sample-nodejs-trivia,Amazon.com,closed,unknown
alexa,alexa/skill-sample-python-fact,GitHub,1,2,0.2,24.000000000000004,github,skill-sample-python-fact,Amazon.com,closed,unknown
alexa,alexa/skill-sample-python-fact,Google Email,1,0,0.2,20,personal,skill-sample-python-fact,Amazon.com,closed,unknown
alexa,alexa/skill-sample-python-quiz-game,GitHub,2,0,0.3,30,github,skill-sample-python-quiz-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-python-quiz-game,Google Email,2,0,0.3,30,personal,skill-sample-python-quiz-game,Amazon.com,closed,unknown
alexa,alexa/skill-sample-python-trivia,GitHub,1,1,0.2,22,github,skill-sample-python-trivia,Amazon.com,closed,unknown
alexa,alexa/skill-sample-python-trivia,Google Email,1,0,0.2,20,personal,skill-sample-python-trivia,Amazon.com,closed,unknown
alexa,alexa/skill-samples-java,Amazon.com,1,0,0.2,20,public,skill-samples-java,Amazon.com,closed,internal
amzn,amzn/amazon-advertising-api-php-sdk,GitHub,1,1,0.2,22,github,amazon-advertising-api-php-sdk,Amazon.com,closed,unknown
amzn,amzn/amazon-dsstne,GitHub,4,1,0.7,72,github,amazon-dsstne,Amazon.com,closed,unknown
amzn,amzn/amazon-dsstne,Google Email,3,0,0.5,50,personal,amazon-dsstne,Amazon.com,closed,unknown
amzn,amzn/amazon-dsstne,Harvard University,1,1,0.2,22,education,amazon-dsstne,Amazon.com,closed,external
amzn,amzn/amazon-instant-access-sdk-java,Amazon.com,1,0,0.2,20,public,amazon-instant-access-sdk-java,Amazon.com,closed,internal
amzn,amzn/amazon-instant-access-sdk-java,GitHub,1,1,0.2,22,github,amazon-instant-access-sdk-java,Amazon.com,closed,unknown
amzn,amzn/amazon-instant-access-sdk-net,Amazon.com,1,0,0.2,20,public,amazon-instant-access-sdk-net,Amazon.com,closed,internal
amzn,amzn/amazon-instant-access-sdk-net,GitHub,1,0,0.2,20,github,amazon-instant-access-sdk-net,Amazon.com,closed,unknown
amzn,amzn/amazon-instant-access-sdk-php,Amazon.com,1,0,0.2,20,public,amazon-instant-access-sdk-php,Amazon.com,closed,internal
amzn,amzn/amazon-instant-access-sdk-php,GitHub,1,0,0.2,20,github,amazon-instant-access-sdk-php,Amazon.com,closed,unknown
amzn,amzn/amazon-pay-sdk-csharp,Amazon.com,3,0,0.5,50,public,amazon-pay-sdk-csharp,Amazon.com,closed,internal
amzn,amzn/amazon-pay-sdk-csharp,GitHub,1,0,0.2,20,github,amazon-pay-sdk-csharp,Amazon.com,closed,unknown
amzn,amzn/amazon-pay-sdk-java,Amazon.com,3,0,0.5,50,public,amazon-pay-sdk-java,Amazon.com,closed,internal
amzn,amzn/amazon-pay-sdk-java,GitHub,2,0,0.3,30,github,amazon-pay-sdk-java,Amazon.com,closed,unknown
amzn,amzn/amazon-pay-sdk-php,Amazon.com,3,0,0.5,50,public,amazon-pay-sdk-php,Amazon.com,closed,internal
amzn,amzn/amazon-pay-sdk-php,GitHub,1,0,0.2,20,github,amazon-pay-sdk-php,Amazon.com,closed,unknown
amzn,amzn/amazon-pay-sdk-python,Amazon.com,2,0,0.3,30,public,amazon-pay-sdk-python,Amazon.com,closed,internal
amzn,amzn/amazon-pay-sdk-python,GitHub,1,0,0.2,20,github,amazon-pay-sdk-python,Amazon.com,closed,unknown
amzn,amzn/amazon-pay-sdk-ruby,Amazon.com,4,1,0.7,72,public,amazon-pay-sdk-ruby,Amazon.com,closed,internal
amzn,amzn/amazon-pay-sdk-ruby,GitHub,2,0,0.3,30,github,amazon-pay-sdk-ruby,Amazon.com,closed,unknown
amzn,amzn/amazon-pay-sdk-samples,Amazon.com,2,0,0.3,30,public,amazon-pay-sdk-samples,Amazon.com,closed,internal
amzn,amzn/amazon-pay-sdk-samples,GitHub,1,0,0.2,20,github,amazon-pay-sdk-samples,Amazon.com,closed,unknown
amzn,amzn/amazon-payments-magento-2-plugin,Amazon.com,3,0,0.5,50,public,amazon-payments-magento-2-plugin,Amazon.com,closed,internal
amzn,amzn/amazon-payments-magento-2-plugin,GitHub,4,1,0.7,72,github,amazon-payments-magento-2-plugin,Amazon.com,closed,unknown
amzn,amzn/amazon-payments-magento-plugin,Amazon.com,1,0,0.2,20,public,amazon-payments-magento-plugin,Amazon.com,closed,internal
amzn,amzn/amazon-payments-magento-plugin,GitHub,2,2,0.3,34,github,amazon-payments-magento-plugin,Amazon.com,closed,unknown
amzn,amzn/amazonpay-express-demo,Amazon.com,1,0,0.2,20,public,amazonpay-express-demo,Amazon.com,closed,internal
amzn,amzn/amazonpay-express-demo,GitHub,3,2,0.5,54,github,amazonpay-express-demo,Amazon.com,closed,unknown
amzn,amzn/amzn-drivers,Amazon.com,5,1,0.8,82,public,amzn-drivers,Amazon.com,closed,internal
amzn,amzn/amzn-drivers,GitHub,1,0,0.2,20,github,amzn-drivers,Amazon.com,closed,unknown
amzn,amzn/exoplayer-amazon-port,Amazon.com,2,2,0.3,34,public,exoplayer-amazon-port,Amazon.com,closed,internal
amzn,amzn/exoplayer-amazon-port,GitHub,1,1,0.2,22,github,exoplayer-amazon-port,Amazon.com,closed,unknown
amzn,amzn/exoplayer-amazon-port,Google,1,3,0.2,26,public,exoplayer-amazon-port,Amazon.com,closed,external
amzn,amzn/ion-c,GitHub,5,1,0.8,82,github,ion-c,Amazon.com,closed,unknown
amzn,amzn/ion-intellij-plugin,Amazon.com,1,0,0.2,20,public,ion-intellij-plugin,Amazon.com,closed,internal
amzn,amzn/ion-intellij-plugin,GitHub,1,0,0.2,20,github,ion-intellij-plugin,Amazon.com,closed,unknown
amzn,amzn/ion-java,Amazon.com,3,1,0.5,52,public,ion-java,Amazon.com,closed,internal
amzn,amzn/ion-java,GitHub,5,0,0.8,80,github,ion-java,Amazon.com,closed,unknown
amzn,amzn/ion-python,Amazon.com,1,2,0.2,24.000000000000004,public,ion-python,Amazon.com,closed,internal
amzn,amzn/ion-python,GitHub,2,0,0.3,30,github,ion-python,Amazon.com,closed,unknown
amzn,amzn/ion-python,Google Email,1,0,0.2,20,personal,ion-python,Amazon.com,closed,unknown
amzn,amzn/ion-tests,GitHub,3,0,0.5,50,github,ion-tests,Amazon.com,closed,unknown
amzn,amzn/login-with-amazon-oscommerce,Amazon.com,1,0,0.2,20,public,login-with-amazon-oscommerce,Amazon.com,closed,internal
amzn,amzn/login-with-amazon-oscommerce,GitHub,1,0,0.2,20,github,login-with-amazon-oscommerce,Amazon.com,closed,unknown
amzn,amzn/login-with-amazon-wordpress,Amazon.com,1,0,0.2,20,public,login-with-amazon-wordpress,Amazon.com,closed,internal
amzn,amzn/login-with-amazon-wordpress,GitHub,1,0,0.2,20,github,login-with-amazon-wordpress,Amazon.com,closed,unknown
amzn,amzn/oss-dashboard,Amazon.com,3,0,0.5,50,public,oss-dashboard,Amazon.com,closed,internal
amzn,amzn/oss-dashboard,GitHub,2,2,0.3,34,github,oss-dashboard,Amazon.com,closed,unknown
amzn,amzn/pay-with-amazon-express-wordpress,Amazon.com,1,0,0.2,20,public,pay-with-amazon-express-wordpress,Amazon.com,closed,internal
amzn,amzn/pay-with-amazon-express-wordpress,GitHub,1,0,0.2,20,github,pay-with-amazon-express-wordpress,Amazon.com,closed,unknown
amzn,amzn/spree_pay_with_amazon,Amazon.com,1,0,0.2,20,public,spree_pay_with_amazon,Amazon.com,closed,internal
amzn,amzn/spree_pay_with_amazon,GitHub,1,0,0.2,20,github,spree_pay_with_amazon,Amazon.com,closed,unknown
amzn,amzn/swa-sample-seller,Amazon.com,1,0,0.2,20,public,swa-sample-seller,Amazon.com,closed,internal
amzn,amzn/swa-sample-seller,GitHub,1,0,0.2,20,github,swa-sample-seller,Amazon.com,closed,unknown
amzn,amzn/web-app-starter-kit-for-fire-tv,Amazon.com,1,0,0.2,20,public,web-app-starter-kit-for-fire-tv,Amazon.com,closed,internal
amzn,amzn/web-app-starter-kit-for-fire-tv,GitHub,3,0,0.5,50,github,web-app-starter-kit-for-fire-tv,Amazon.com,closed,unknown
apache,apache/incubator-mxnet,Amazon.com,5,1,0.8,82,public,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,AOL Email,1,0,0.2,20,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,Apache Software Foundation,5,2,0.8,84.00000000000001,nonprofit,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,Apprente,1,1,0.2,22,private,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,Bluewin,1,1,0.2,22,private,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,Comcast Email,3,1,0.5,52,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,EPFL,1,0,0.2,20,private,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,Facebook,1,0,0.2,20,public,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,GitHub,5,5,0.8,90,github,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,Google Email,5,5,0.8,90,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,hello,1,0,0.2,20,private,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,HKUST,5,2,0.8,84.00000000000001,education,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,iCloud Email,1,0,0.2,20,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,Intel,5,1,0.8,82,public,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,MSN Email,4,0,0.7,70,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,Outlook.com Email,5,1,0.8,82,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,QQ Email,3,1,0.5,52,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,The University of Texas at San Antonio,2,0,0.3,30,education,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,University of Washington,1,0,0.2,20,education,incubator-mxnet,Community Project,open,external
apache,apache/incubator-mxnet,Yahoo Email,2,0,0.3,30,personal,incubator-mxnet,Community Project,open,unknown
apache,apache/incubator-mxnet,NA,5,2,0.8,84.00000000000001,no domain record,incubator-mxnet,Community Project,open,unknown
apple,apple/ccs-calendarserver,Apple,1,1,0.2,22,public,ccs-calendarserver,Apple,closed,internal
apple,apple/ccs-calendarserver,GitHub,1,0,0.2,20,github,ccs-calendarserver,Apple,closed,unknown
apple,apple/ccs-pykerberos,GitHub,1,1,0.2,22,github,ccs-pykerberos,Apple,closed,unknown
apple,apple/ccs-pykerberos,Google Email,1,0,0.2,20,personal,ccs-pykerberos,Apple,closed,unknown
apple,apple/coremltools,Apple,5,2,0.8,84.00000000000001,public,coremltools,Apple,closed,internal
apple,apple/coremltools,BCG Digital Ventures,1,1,0.2,22,private,coremltools,Apple,closed,external
apple,apple/coremltools,Google Email,2,0,0.3,30,personal,coremltools,Apple,closed,unknown
apple,apple/coremltools,hello,1,1,0.2,22,private,coremltools,Apple,closed,external
apple,apple/coremltools,Hover Camera,1,0,0.2,20,private,coremltools,Apple,closed,external
apple,apple/coremltools,Mapbox,1,1,0.2,22,private,coremltools,Apple,closed,external
apple,apple/cups,GitHub,1,1,0.2,22,github,cups,Apple,closed,unknown
apple,apple/cups,Google Email,1,3,0.2,26,personal,cups,Apple,closed,unknown
apple,apple/example-package-deckofplayingcards,Apple,1,0,0.2,20,public,example-package-deckofplayingcards,Apple,closed,internal
apple,apple/example-package-fisheryates,Apple,1,0,0.2,20,public,example-package-fisheryates,Apple,closed,internal
apple,apple/example-package-playingcard,Apple,3,0,0.5,50,public,example-package-playingcard,Apple,closed,internal
apple,apple/swift,Apple,1,2,0.2,24.000000000000004,public,swift,Apple,closed,internal
apple,apple/swift,GitHub,1,3,0.2,26,github,swift,Apple,closed,unknown
apple,apple/swift,Google Email,1,1,0.2,22,personal,swift,Apple,closed,unknown
apple,apple/swift-clang,Apple,2,2,0.3,34,public,swift-clang,Apple,closed,internal
apple,apple/swift-clang,GitHub,2,2,0.3,34,github,swift-clang,Apple,closed,unknown
apple,apple/swift-clang,Red Hat,1,2,0.2,24.000000000000004,public,swift-clang,Apple,closed,external
apple,apple/swift-compiler-rt,Apple,4,1,0.7,72,public,swift-compiler-rt,Apple,closed,internal
apple,apple/swift-compiler-rt,GitHub,3,1,0.5,52,github,swift-compiler-rt,Apple,closed,unknown
apple,apple/swift-compiler-rt,Google Email,1,0,0.2,20,personal,swift-compiler-rt,Apple,closed,unknown
apple,apple/swift-corelibs-foundation,Apple,1,1,0.2,22,public,swift-corelibs-foundation,Apple,closed,internal
